ID,ID_Ristow,ID_Khatchatrian,Page_Khatchatrian,Page_Khatchatrian_1982_Suppl,Pelagios_ID,Place_name_modern,Localisation,X_coordinates,Y_coordinates,Localisation_certainty,Localisation_notes,Certainty,Place_name_full_precisely_transcribed_from_Ristow,Near,Place_name_ancient,Place_name_alternative_forms,State_modern,Region_modern,Island,Region_ancient,Province_ancient,Date_Ristow,Built_after_or_in,Built_before_or_in,Date_century_from_ante_quem,Date_average,Date_century_from_average,Date_certainty,Separate_Building_or_Part_of_the_Church,Place_specification,Patrocinium,Building_orientation,Building_shape_1,Building_shape_2,Building_shape_3,Building_shape_note,Entrance_from,Entrance_room,Apse,Piscina_location,Piscina_shape_1,Piscina_shape_2,Piscina_shape_3,Piscina_shape_4,Piscina_shape_5,Piscina_shape_6,Piscina_shape_note,Additional_piscina,Monolithic_piscina,Piscina_steps_number_max,Piscina_steps_from_direction,Piscina_depth_cm,Piscina_depth_precise,Piscina_height_cm,Not_totally_full,Ciborium,Ciborium_supports_no,Plan_reference,Plan,Photo,Notes,
163,162,,,,,Châlons-sur-Marne,"Châlons-sur-Marne, France",4.36,48.95,1,http://www.maplandia.com/france/champagne-ardenne/marne/chalons-en-champagne/chalons-sur-marne/,certain or very probable,"Châlons-sur-Marne {Marne}, Saint-Pierre-au-Mont",,,Châlons-sur-Marne,France,Marne,,,,fma,500,999,10,750,8,,,Saint-Pierre-au-Mont,Peter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,163,,,,,Châteauneuf-de-Grasse,"Châteauneuf-de-Grasse, France",6.98,43.67,1,,certain or very probable,"Châteauneuf-de-Grasse {Alpes-Maritimes}, Notre-Dame-de-Brusc; Phase: 1",,,Châteauneuf-de-Grasse,France,Alpes-Maritimes,,,,6 (?),500,599,6,550,6,n,,Notre-Dame-de-Brusc,Mary,W,rectangle,,,,E,,,MW,square,hexagon,,,,,square ~,1,,,,35,,,y,,,"Février/Fixot 1989, 21, fig. 3; Février/Fixot 1995, 102, (Abb. o.) ",Ristow Tafel 13a,,,
165,164,,,110,,Châteauneuf-de-Grasse,"Châteauneuf-de-Grasse, France",6.98,43.67,1,,certain or very probable,"Châteauneuf-de-Grasse {Alpes-Maritimes}, Notre-Dame-de-Brusc; Phase: 2",,,Châteauneuf-de-Grasse,France,Alpes-Maritimes,,,,6/7,500,699,7,600,7,,,Notre-Dame-de-Brusc,Mary,W,rectangle,,,,E,,,MW,heptagon,,,,,,,,,2,"N, S",75,,,y,,,"Février/Fixot 1989, 21, fig. 3; Février/Fixot 1995, 102, (Abb. o.) ",Ristow Tafel 13a,,,
166,165,,,110,,Châteauneuf-sur-Charente,"Châteauneuf-sur-Charente, France",-0.05,45.60,1,,certain or very probable,"Châteauneuf-sur-Charente {Charente}, St-Jean",,,Châteauneuf-sur-Charente,France,Charente,,,,5 (?) - später,400,1099,11,750,8,n,,St-Jean,John,,round,octogon,,,,,,,round,,,,,,,,,,,,,,,,,"Khatchatrian 1982, 110 (Abb.) [Pisc.]",,,,
167,166,,,86,,Civaux,"Civaux, France",0.67,46.45,1,,certain or very probable,"Civaux (Fanum) {Vienne},St-Gervais et St-Protais",,Fanum,Civaux,France,Vienne,,,,5 (2. Dr.),434,466,5,450,5,,,St-Gervais et St-Protais,"Gervais, Protais",N,rectangle,,,,N,"N, W, S",,S,hexagon,,,,,,open access,,,3,"W, E",119,,,,,,"Eygun 1963, 454, Fig. 26; Papinot 1983, o. S. Fig. 12; Papinot 1989, 53 (Abb.); Boissavit-camus/Papinot/Pautreau 1990, 89 (Abb.); Duval, architecture, 1991, 191, fig. o.; Papinot/Le Masne de Chermont 1996, 277 (Abb.)",,,,
168,167,,,,,Clermont-Ferrand,"Clermont-Ferrand, France",3.09,45.78,1,,certain or very probable,Clermont-Ferrand {Puy-de-Dôme},,,Clermont-Ferrand,France,Puy-de-Dôme,,,,6 (?),500,599,6,550,6,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,
169,168,,,,,Concevreux,"Concevreux, France",3.79,49.38,1,,certain or very probable,Concevreux {Aisne},,,Concevreux,France,Aisne,,,,fma,500,999,10,750,8,,,,,,,,,,,,,,cross,rectangle,,,,,,,y,,,35,,55,,,,"Fleury 1878, 271, Fig. 338 [Pisc.]",Ristow Tafel 18b,,,
170,169,,,,,Dijon,"Dijon, France",5.02,47.32,1,,certain or very probable,Dijon {Côte-d'Or},,,Dijon,France,Côte-d'Or,,,,5/6 (?),400,599,6,500,6,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,170,,,,,Draguignan,"Draguignan, France",6.47,43.53,1,,certain or very probable,"Draguignan {Var}, St-Hermentaire",,,Draguignan,France,Var,,,,6/7,500,699,7,600,7,,,St-Hermentaire,Hermentarius,W,rectangle,,,,"W, E",E,,,round,,,,,,,,,,,50,n,,,,,"Codou 1993, 57 (Abb.); Boyer/Codou/Gayrard 1993, 34 (Abb. o.); Coudou 1995, 152 (Abb.); 154 (Abb.)",,,,
172,171,,,,,Embrum,"Embrum, France",6.50,44.57,1,,certain or very probable,"Embrum {Hautes-Alpes, Kathedrale (maior ecclesia)",,,Embrum,France,Hautes-Alpes,,,,6 (?),500,599,6,550,6,n,c,cathedral (maior ecclesia),,,,,,,,,,,round,,,,,,,,,,,44,,64,,,,,,,,
173,172,,,,,Engins,"Engins, France",5.62,45.18,1,,certain or very probable,"Engins {Isère}, St-Jean-Baptiste",,,Engins,France,Isère,,,,MA (8-11),700,1099,11,900,10,,,St-Jean-Baptiste,John the Baptist,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,
174,173,345,,,,Fréjus,"Fréjus, France",6.74,43.43,1,,certain or very probable,"Fréjus {Var}, Kirchenkomplex",,,Fréjus,France,Var,,,,5 (?)/6,400,599,6,500,6,n,c,church complex,,W,octogon,,,niches,2 E,E,,M,round,octogon,,,,,octogon with ciborium projections,,,2,,82,,,,y,8,"de Angelis d'Ossat 1969, 5, Abb. 12; Guyon 1986, 1437, fig. 7; Heitz 1987, 54 (Abb. o.); Frévrier/Fixot/Rivet 1989, 59ff.; Duval, ecclesia, 1991, 62 (Abb.); Frévrier 1995, 155ff., hier 158 (Abb.)",,Ristow Tafel 25b,https://cs.wikipedia.org/wiki/Fr%C3%A9jus,
175,174,,,,,Grenoble,"Grenoble, France",5.72,45.17,1,,certain or very probable,"Grenoble (Gratianopolis) {Isère}, kirchenkomplex (Kathedrale); Phase: 1",,Gratianopolis,Grenoble,France,Isère,,,,400 (um),375,424,5,400,5,,c,church complex (cathedrale),,W,quatrefoil,,,,"N, S",,4,M,oval,,,,,,,,,,,,,,,,,"Guyon 1991, 75, Fig. (u. li.); Duval, ecclesia, 1991, 58, fig. (o.); Baucheron/Colardelle 1993, 36 (Abb. u.); Baucheron/Blin/Girard 1995, 234f. (Abb.); Baucheron/de Montjoye 1996, 96f., Fig. 2ff",Ristow Tafel 10b,,,
176,175,,,,,Grenoble,"Grenoble, France",5.72,45.17,1,,certain or very probable,"Grenoble (Gratianopolis) {Isère}, kirchenkomplex (Kathedrale); Phase: 2",,Gratianopolis,Grenoble,France,Isère,,,,fma,500,999,10,750,8,,c,church complex (cathedrale),,W,quatrefoil,,,,"N, S",,4,M,octogon,,,,,,,,,,,50,,,,,,"Baucheron/Colardelle 1993, 36 (Abb. u.); Baucheron/Blin/Girard 1995, 234f. (Abb.); Baucheron/de Montjoye 1996, 96f., Fig. 2ff",Ristow Tafel 10b,,,
177,176,,,,,Bravone,"Bravone, France",9.56,42.20,1,,certain or very probable,"Korsika - Bravone (b. Linguizetta) {Haute-Corse}, S. Maria (Kirchengruppe)",Linguizetta,,Bravone,France,Haute-Corse,Corsica,,,6/7,500,699,7,600,7,,c,S. Maria (church group),Mary,ME,rectangle,,,,W,,,M,round,cross,,,,,,,,4,"N, S, E, W",97,,,,y,8,"Duval 1995, 336ff., hier 338 (Abb.) [Pisc.]; 342 (Abb.)",,,,
178,177,,,129,,Golo,"Golo, France",9.53,42.52,1,,certain or very probable,"Korsika - Golo (Valle di Rostino/südwestl. Campile) {Haute-Corse}, St-Marie-de-Riscamone; Phase: 1",Campile,,Golo,France,Haute-Corse,Corsica,,,5 (?)/6,400,599,6,500,6,n,,St-Marie-de-Riscamone,Mary,S,rectangle,,,,,,E,,cross,,,,,,,,,,,100,n,,,,,"Duval 1995, 361ff., hier 363 (Abb.)",,,,
179,178,,,129,,Golo,"Golo, France",9.53,42.52,1,,certain or very probable,"Korsika - Golo (Valle di Rostino/südwestl. Campile) {Haute-Corse}, St-Marie-de-Riscamone; Phase: 2",Campile,,Golo,France,Haute-Corse,Corsica,,,6/7-MA,500,1099,11,800,9,,,St-Marie-de-Riscamone,Mary,S,rectangle,,,,,,E,,cross,,,,,,,,,,,24,,,,,,"Duval 1995, 361ff., hier 363 (Abb.)",,,,
180,179,,146,116,,Mariana,"Mariana, France",9.50,42.54,1,,certain or very probable,Korsika - Mariana {Haute-Corse}; Phase: 1,,,Mariana,France,Haute-Corse,Corsica,,,500 (um?),475,524,6,500,6,n,,,,SE,cross,,,stepped,N,,,M,cross,,,,,,,,,,,50,,,,,,"Moracchini 1963, 138, Fig. 1; 149, Fig. 14; Moracchini 1965, 52, Fig. 2; 56, Fig. 14; Heitz 1987, 57 (Abb.); Guyon 1991, 79, fig. 1 (m. li.); Duval 1995, 343ff., hier 345 (Abb.)",,,"https://en.wikipedia.org/wiki/Mariana,_Corsica",
181,180,,146,116,,Mariana,"Mariana, France",9.50,42.54,1,,certain or very probable,Korsika - Mariana {Haute-Corse}; Phase: 2,,,Mariana,France,Haute-Corse,Corsica,,,6,500,599,6,550,6,,,,,SE,cross,,,stepped,N,,,M,octogon,,,,,,irregular,,,,,,,,,,,"Guyon 1991, 79, fig. 1 (m. re.); Duval 1995, 343ff., hier 345 (Abb.)",,,"https://en.wikipedia.org/wiki/Mariana,_Corsica",
182,181,,146,116,,Mariana,"Mariana, France",9.50,42.54,1,,certain or very probable,Korsika - Mariana {Haute-Corse}; Phase: 3,,,Mariana,France,Haute-Corse,Corsica,,,7/8,600,799,8,700,8,,,,,SE,cross,,,stepped,N,,,M,round,,,,,,,,,,,55,,,,,,"Guyon 1991, 79, fig. 2 (m. o.); Duval 1995, 343ff., hier 345 (Abb.)",,,"https://en.wikipedia.org/wiki/Mariana,_Corsica",
183,182,,146,116,,Mariana,"Mariana, France",9.50,42.54,1,,certain or very probable,Korsika - Mariana {Haute-Corse}; Phase: 4,,,Mariana,France,Haute-Corse,Corsica,,,MA (9),800,899,9,850,9,,,,,SE,cross,,,stepped,N,,,M,round,,,,,,,,,,,,,,,,,"Duval 1995, 343ff., hier 345 (Abb.)",,,"https://en.wikipedia.org/wiki/Mariana,_Corsica",
184,183,,,,,Pianottoli-Caldarello,"Pianottoli-Caldarello, France",9.06,41.49,1,,certain or very probable,Korsika - Pianottoli-Caldarello (b. Ficaria) {Corse-du-Sud}; Phase: 1,Ficaria,,Pianottoli-Caldarello,France,Corse-du-Sud,Corsica,,,370 (um)-später,345,1099,11,722,8,,,,,N,cross,,,,"3 N, 2 S, 2 E",,E,N,square,,,,,,,,,,,40,n,,,y,4,"Moracchini-Mazel/Boinard 1988, 20f., Fig. 9; Duval 1995, 317ff., hier 317f. (Abb.)",,,,
185,184,,,,,Pianottoli-Caldarello,"Pianottoli-Caldarello, France",9.06,41.49,1,,certain or very probable,Korsika - Pianottoli-Caldarello (b. Ficaria) {Corse-du-Sud}; Phase: 2,Ficaria,,Pianottoli-Caldarello,France,Corse-du-Sud,Corsica,,,fma,500,999,10,750,8,,,,,N,rectangle,,,,"3 N, 2 S, 2 E",,,N,round,,,,,,,,,,,40,n,,y,,,"Moracchini-Mazel/Boinard 1988, 11, Fig. 26 [Pisc.]; 21f., Fig. 9; Duval 1995, 317ff., hier 317f. (Abb.)",,,,
186,185,,,,,Pianottoli-Caldarello,"Pianottoli-Caldarello, France",9.06,41.49,1,,certain or very probable,Korsika - Pianottoli-Caldarello (b. Ficaria) {Corse-du-Sud}; Phase: 3,Ficaria,,Pianottoli-Caldarello,France,Corse-du-Sud,Corsica,,,MA (11),1000,1099,11,1050,11,,,,,N,rectangle,,,,SE,,,M,round,,,,,,,,,,,70,n,,,,,"Moracchini-Mazel/Boinard 1988, 11, Fig. 26 [Pisc.]; 21f., Fig. 9; Duval 1995, 317ff., hier 317f. (Abb.)",,,,
187,186,,,,,Sagone,"Sagone, France",8.70,42.11,1,,certain or very probable,Korsika - Sagone {Corse-du-Sud}; Phase: 1,,,Sagone,France,Corse-du-Sud,Corsica,,,5,400,499,5,450,5,,,,,S,,,,,E,,,,round,,,,,,,,,,,,,,,,,"Guyon 1991, 79, fig. 2 (u. li.); Duval 1995, 324ff., hier 326 (Abb.)",,,,
188,187,,,118,,Sagone,"Sagone, France",8.70,42.11,1,,certain or very probable,Korsika - Sagone {Corse-du-Sud}; Phase: 2,,,Sagone,France,Corse-du-Sud,Corsica,,,5 (Ende),475,499,5,487,5,,,,,S,cross,,,stepped,E,,,M,octogon,,,,,,,,,,,45,,,y,,,"Khatchatrian 1982, 118 (Abb.); Guyon 1991, 79, fig. 2 (u. li.); Duval 1995, 324ff., hier 326 (Abb.)",,,,
189,188,,,,,L'Isle-Jourdain,"L'Isle-Jourdain, France",1.08,43.61,1,,certain or very probable,L'Isle-Jourdain (La Gravette/35 km westl. Toulouse) {Gers},Toulouse,,"L'Isle-Jourdain, La Gravette",France,Gers,,,,5,400,499,5,450,5,,,,,SE,rectangle,,,,,,,M,round,,,,,,,,,1,,,,,,,,"Cazes, Isle-Jourdain 1996, 157 (Abb.); Cazes, égline double 1996, 112, Fig. 2",,,,
190,189,337,,,,Le Teil-Mélas,"Le Teil-Mélas, France",4.67,44.55,1,,certain or very probable,"Le Teil-Mélas {Ardèche}, St-Etienne",,,Le Teil-Mélas,France,Ardèche,,,,5 (?)-später,400,1099,11,750,8,n,,St-Etienne,Stephen,N,octofoil,square,,square-tetrakonchos  ~,S,,,,square,,,,,,,,,,,40,,,,,,"Marzolff 1986, 213, Abb. 5 (li.)",Ristow Tafel 9b,,,
191,190,,,,,Les Andelys,"Les Andelys, France",1.42,49.25,1,,certain or very probable,"Les Andelys {Eure}, Sainte-Clotilde (b. Notre Dame)",,,Les Andelys,France,Eure,,,,fma,500,999,10,750,8,,,Sainte-Clotilde (near Notre Dame),Clotilde,N,dekagon,,,,,,,M,unknown,,,,,,destroyed,,,,,,,,,,,"Cliquet/Pilet-Lemière/Vipúard 1990, 65 (Abb. o.)",,,V pozn. Rostow: byl zničen v 9. století,
192,191,,,,,Loupian,"Loupian, France",3.61,43.45,1,,certain or very probable,"Loupian {Hérault}, St-Cécile",,,Loupian,France,Hérault,,,,4 (?)-6,300,599,6,450,5,n,,St-Cécile,Cécile,N,square,,,~,"W, E","W, E, N",,M,hexagon,hexagon,,,,,2 - hexagon with ciborium projections,,,1,,50,,,y,y,6,"Pellecuer 1989, 123f, Fig. 3ff.; Lugand/Pellecuer 1994, 264, Fig. 17; Pellecuer 1995, 43f. (Abb.)",,Ristow Tafel 25a,,
193,192,,,115,,Lyon,"Lyon, France",4.85,45.75,1,,certain or very probable,"Lyon (Lugdunum) {Rhône}, St-Etienne (bei St-Jean); Phase: 1",,Lugdunum,Lyon,France,Rhône,,,,4 (Ende)/5,375,499,5,437,5,,,St-Etienne (near St-Jean),Stephen,M,rectangle,,,,,,E,M,octogon,,,,,,,,,3,,86,,,,,,"Reynaud 1980, 67, fig. 4; Khatchatrian 1982, 115 (Abb.);Renaud in: ACA 10,2, 466, Fig. 1; 468, Fig. 2; Heitz 1987, 23 (Abb.); Erlande-Brandeburg 1989, 62, Fig. 30f.; Grewe 1991, 20, Abb. 6 [Rek.]; 21, Abb. 7 [Pisc.]; Duval, ecclesia, 1991, 57, fig. (u.); Reynaud 1995, 288 (Abb.)",,,,
194,193,,,115,,Lyon,"Lyon, France",4.85,45.75,1,,certain or very probable,"Lyon (Lugdunum) {Rhône}, St-Etienne (bei St-Jean); Phase: 2",,Lugdunum,Lyon,France,Rhône,,,,5-(später?),400,1099,11,750,8,n,,St-Etienne (near St-Jean),Stephen,M,rectangle,,,,,,E,M,octogon,,,,,,,,,3,,47,,,,,,"Reynaud 1980, 67, fig. 4; Khatchatrian 1982, 115 (Abb.);Heitz 1987, 23 (Abb.); Erlande-Brandeburg 1989, 62ff., Fig. 31ff.; Duval, ecclesia, 1991, 57, fig. (u.); Reynaud 1995, 288 (Abb.)",,,,
195,194,"144, 376",,,,Marseille,"Marseille, France",5.38,43.30,1,,certain or very probable,"Marseille (Massilia) {Bouches-du-Rhône}, Kirchenkomplex? (von Notre-Dame-de-la-Major)",,Massilia,Marseille,France,Bouches-du-Rhône,,,,5 (nicht vor),400,499,5,450,5,,,church complex (from Notre-Dame-de-la-Major),,N,octogon,,,"niches, inside support ring","N, S",S,E,M,octogon,,,,,,~,,,,,70,,,,,,"de Angelis d'Ossat 1969, 5, Abb. 11; Bernardi Ferrero 1979, 165, Fig. 1; Guyon in: ACA 11, 1434, Fig. 4; Erlande-Brandenburg 1989, 68, Fig. 35 [Plan 1854]; Guyon 1995, 143f. (Abb.)",Ristow Tafel 6a,,,
196,195,,,117,,Meysse,"Meysse, France",4.72,44.61,1,,certain or very probable,"Meysse {Ardèche}, St-Jean-Baptiste; Phase: 1",,,Meysse,France,Ardèche,,,,4-6,300,599,6,450,5,,,St-Jean-Baptiste,John the Baptist,E,rectangle,,,,,,E,E,octogon,,,,,,"open access, station for the Baptist",,,1,W,35,,,y,,,"Khatchatrian 1982, 117 (Abb.) [Pisc.]; Reynaud 1988, 111, Fig. 7; Reynaud 1995, 212 (Abb. o.)",,Ristow Tafel 26c,,
197,196,,,,,Meysse,"Meysse, France",4.72,44.61,1,,certain or very probable,"Meysse {Ardèche}, St-Jean-Baptiste; Phase: 2",,,Meysse,France,Ardèche,,,,karolingisch (?),751,987,10,869,9,n,,St-Jean-Baptiste,John the Baptist,E,rectangle,,,,,,E,E,octogon,,,,,,open access,,,,,,,,,,,"Reynaud 1988, 112, Fig. 8",,Ristow Tafel 26c,,
198,197,336,,86,,Nevers,"Nevers, France",3.16,46.99,1,,certain or very probable,"Nevers {Nièvres}, Kathedrale (Kirchengruppe); Phase: 1",,,Nevers,France,Nièvres,,,,6 (Anfang)?,500,524,6,512,6,n,c,cathedral (church group),,"E, N",central building,,,8 niches,"S, W",,E,M,round,octogon,,,,,,,,1,W,60,n,,y,,,"Bernardi Ferrero 1979, 169, Fig. 4; David-Roy 1979, 57 (Abb.); Bonnet 1995, 48, Fig. 20f.",Ristow Tafel 6f,,,
199,198,336,,,,Nevers,"Nevers, France",3.16,46.99,1,,certain or very probable,"Nevers {Nièvres}, Kathedrale (Kirchengruppe); Phase: 2",,,Nevers,France,Nièvres,,,,6/7 (Anfang),500,624,7,562,6,,c,cathedral (church group),,"E, N",central building,,,8 niches,"S, W",,,M,octogon,,,,,,,,,,,30,n,,y,y,8,"Bonnet 1995, 48, Fig. 20f.",Ristow Tafel 6f,,,
200,199,291,,,,Nizza-Cimiez,"Nizza-Cimiez, France",7.28,43.72,1,,certain or very probable,"Nizza-Cimiez (Cemenelum) {Alpes-Maritimes}, W-Thermen (Kirchengruppe)",Cemenelum,,Nizza-Cimiez,France,Alpes-Maritimes,,,,439,439,439,5,439,5,,c,W-Thermen (church group),,NW,trapezoid,,,,"3 S, E, W","E, W",,M,hexagon,cross,,,,,cross ~,,,4,"W, N, S",86,,,,y,6,"Y. Duval 1986, 87; Guyon in: ACA 11, 1430, Fig. 1; Duval, ecclesia, 1991, 188, fig. a (u. li.); Frévrier 1995, 103ff., hier 104f. (Abb.)",Ristow Tafel 11c,Ristow Tafel 24c,,
201,200,,,,,Paris,"Paris, France",2.35,48.85,1,,certain or very probable,"Paris {Paris}, St-Jean-le-Rond (bei der Kirchengruppe Kathedrale Notre-Dame/St-Etienne)",,,Paris,France,Paris,,,,6 (?)-fma,500,999,10,750,8,n,,St-Jean-le-Rond (near church group of the cathedral Notre-Dame / St-Etienne Cathedral),John the Baptist,N,round,,,,,,,,,,,,,,,,,,,,,,,,,"Erlande-Brandenburg 1992, 18 (Abb.)",,,,
202,201,363,,86,,Poitiers,"Poitiers, France",0.34,46.58,1,,certain or very probable,"Poitiers {Vienne}, St-Jean; Phase: 1",,,Poitiers,France,Vienne,,,,4/5 (eher Ende),300,499,5,400,5,,,St-Jean,John,E,rectangle,,,,W,W,,ME,octogon,,,,,,,,,4,,142,,,,,,"Rérolle 1986, 21, Fig. 1 [Pisc.]; 25, Fig. 2; Pl. XIa; Heitz 1987, 68 (Abb. 1); Reynaud u. a. 1989, 67 (Abb.); Reynaud 1995, 165, Fig. 1",,,https://cs.wikipedia.org/wiki/Poitiers,
203,202,363,,86,,Poitiers,"Poitiers, France",0.34,46.58,1,,certain or very probable,"Poitiers {Vienne}, St-Jean; Phase: 2",,,Poitiers,France,Vienne,,,,6/7,500,699,7,600,7,,,St-Jean,John,E,cross,,,,W,W,E,ME,octogon,,,,,,,,,3,,142,,,,,,"Rérolle 1986, 21, Fig. 1 [Pisc.]; 25, Fig. 2; Pl. XIb; Heitz 1987, 68 (Abb. 2); Reynaud 1995, 165, Fig. 1",,,https://cs.wikipedia.org/wiki/Poitiers,
204,203,,,,,Poitiers,"Poitiers, France",0.34,46.58,1,,certain or very probable,"Poitiers {Vienne}, St-Jean; Phase: 3",,,Poitiers,France,Vienne,,,,7 (später),650,699,7,675,7,,,St-Jean,John,E,cross,,,,W,W,E,ME,cross,,,,,,,,,2,,,,,,,,"Rérolle 1986, 21, Fig. 1 [Pisc.]; 25, Fig. 2; Pl. XIc; Heitz 1987, 68 (Abb. 3); Reynaud 1995, 165, Fig. 1",,,https://cs.wikipedia.org/wiki/Poitiers,
205,204,317,,,,Portbail,"Portbail, France",-1.70,49.34,1,,certain or very probable,"Portbail {Manche}, Kirchenkomplex (?); Phase: 1",,,Portbail,France,Manche,,,,5 (?),400,499,5,450,5,n,c,church group,,,hexagon,,,,"W, SE",W,,M,hexagon,,,,,,station for the Baptist?,,,1,,60,,,,,,"Heitz 1987, 53 (Abb. u.)",Ristow Tafel 6b,,,
206,205,317,,,,Portbail,"Portbail, France",-1.70,49.34,1,,certain or very probable,"Portbail {Manche}, Kirchenkomplex (?); Phase: 2",,,Portbail,France,Manche,,,,6 (später?),550,599,6,575,6,n,c,church group,,,hexagon,,,,"W, SE",W,"WNW, WSW",M,hexagon,,,,,,,,,1,,60,,,,,,"Heitz 1987, 53 (Abb. u.)",Ristow Tafel 6b,,,
207,206,,,,,Primuliacum,"Primuliacum, France",1.00,45.38,1,http://imperium.ahlfeldt.se/places/42671.html,certain or very probable,"Primuliacum (Périllac/b. Villeneuve-d'Agen/o. = Premillac/b. La Nouaille) {Lot-et-Garonne}, Kirchenkomplex","Villeneuve-d´Agen, La Nouaille",,"Primuliacum, Périllac, Premillac",France,Lot-et-Garonne,,,,402,402,402,5,402,5,,c,church complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,207,,,,,Puimoisson,"Puimoisson, France",6.13,43.86,1,,certain or very probable,Puimoisson (b. Riez) {Alpes-de-Haute-Provence},Riez,,Puimoisson,France,Alpes-de-Haute-Provence,,,,MA (?),500,1099,11,800,9,n,,,,,quatrefoil,,,,,,,,,,,,,,,,y,,,25,,,,,,,,,,
209,208,355,,86,,Reims,"Reims, France",4.03,49.25,1,,certain or very probable,"Reims {Marne}, Kathedrale Notre-Dame; Phase: 1",,,Reims,France,Marne,,,,4 (Ende?),375,399,4,387,4,n,c,cathedral Notre-Dame,Mary,W,rectangle,,,?,,,,M,rectangle,,,,,,,,,4,,,,,,,,"Reinhardt 1963, 19, Fig. 2; Berry 1993, Fig. 1",Ristow Tafel 14c,,,
210,209,,,,,Reims,"Reims, France",4.03,49.25,1,,certain or very probable,"Reims {Marne}, Kathedrale Notre-Dame; Phase: 2",,,Reims,France,Marne,,,,5/6,400,599,6,500,6,,c,cathedral Notre-Dame,Mary,W,rectangle,,,,,,,M,square,,,,,,~,,,,,,,,,y,4,"Balcon/Berry/Neiss 1996, 25 (Abb. re.); 27 (Abb. o. + mi.)",Ristow Tafel 14c,,,
211,210,,,,,Reims,"Reims, France",4.03,49.25,1,,certain or very probable,"Reims {Marne}, Kathedrale Notre-Dame; Phase: 3",,,Reims,France,Marne,,,,MA (?),500,1099,11,800,9,n,c,cathedral Notre-Dame,Mary,W,rectangle,,,,,,,M,polygon,,,,,,(?),,,,,,,,,,,"Balcon/Berry/Neiss 1996, 25 (Abb. re.); 27 (Abb. o. + mi.)",Ristow Tafel 14c,,,
212,211,346,,86,,Riez,"Riez, France",6.09,43.82,1,,certain or very probable,"Riez (Colonia Apollinaris Reiorum) {Alpes-de-Haute-Provence}, Kathedrale ",,Colonia Apollinaris Reiorum,Riez,France,Alpes-de-Haute-Provence,,,,5/6-8 (?),400,799,8,600,7,n,c,cathedral,,W,octogon,,,niche octogon with inside support ring,"N, S, E",gallery,,M,octogon,,,,,,,,,,,45,n,,y,,,"Leclercq in: DACL II (1910) Sg. 467, fig. 1375; de Angelis d'Ossat 1969, 5, Abb. 13; Bernardi Ferrero 1979, 165, Fig. 3; Guyon in: ACA 11, 1435, Fig. 6; Duval, ecclesia, 1991, 190, fig. b (o. li.); Barruol 1995, 88 (u. li.)",,,,
213,212,,,109,,Saint-Cicy,"Saint-Cicy, France",1.09,43.22,1,http://imperium.ahlfeldt.se/places/7816.html,certain or very probable,"Saint-Cicy (Aquae Siccae/b. Cazères) {Haute-Garonne}, Nekropole Bantayré; Phase: 2",Cazères,Aquae Siccae,Saint-Cicy,France,Haute-Garonne,,,,5 (?-später),400,1099,11,750,8,n,c,Nekropole Bantayré,,S,,,,,,,,,octogon,,,,,,,,y,2,,48,,,,y,8,"Khatchatrian 1982, 109 (Abb.); Buhler 1986, fig. 5 [Pisc.]",,,,
214,213,,,,,Saint-Samson,"Saint-Samson, France",0.16,49.19,1,,certain or very probable,Saint-Samson (westl. Pontorson) {Ille-et-Vilaine},Pontorson,,Saint-Samson,France,Ille-et-Vilaine,,,,fma/MA,500,1099,11,800,9,,,,,,,,,,,,,,round,,,,,,,,y,,,100,n,,,,,,,,,
215,214,,,,,Saint-Vigor-Le-Grand,"Saint-Vigor-Le-Grand, France",-0.69,49.28,1,,certain or very probable,"Saint-Vigor-Le-Grand (b. Bayeux) {Calvados}, Saint-Vigor",Bayeux,,Saint-Vigor-Le-Grand,France,Calvados,,,,fma,500,999,10,750,8,,,Saint-Vigor,Vigor,,,,,,,,,,round,square,round,hexagon,round,,,,y,4,,,,,,,,"Cliquet/Piler-Lemière/Vipard 1990, 64 (Abb. u.)",,,,
216,215,,,,,Schacheneck,"Schacheneck, France",7.17,48.72,1,Lutzelbourg 17 km,certain or very probable,"Schacheneck (b. Haselbourg/6 km südl. Lutzelbourg) {Moselle}, St-Fridoun (früher St. Hilarius?)","Haselbourg, Lutzelbourg",,Schacheneck,France,Moselle,,,,fma/MA,500,1099,11,800,9,,c,St-Fridoun (formerly St. Hilarius?),"Fridoun, Hilarius",In,inside the church,,,,open,open,E,M,round,,,,,,,,y,,,55,,75,,,,"Kraus 1889, 915f., Fig. 174 f.",,,,
